provincia;anio;mes_numero;mes;precipitacion_total_mm;precipitacion_promedio_mm;precipitacion_maxima_mm;dias_con_lluvia
Limón;2020;6;Junio;369.7;12.32;41.7;30
Limón;2020;7;Julio;324.9;10.48;37.3;31
Limón;2020;8;Agosto;399.7;12.89;50.9;30
Limón;2020;9;Setiembre;226.9;7.56;21.3;30
Limón;2020;10;Octubre;253.9;8.19;41.9;30
Limón;2020;11;Noviembre;487.1;16.24;85.2;30
Limón;2020;12;Diciembre;486.5;15.69;83.9;31
Limón;2021;1;Enero;239.6;7.73;40.6;30
Limón;2021;2;Febrero;234.1;8.36;50.4;26
Limón;2021;3;Marzo;243.2;7.85;32.0;31
Limón;2021;4;Abril;298.8;9.96;48.0;30
Limón;2021;5;Mayo;532.1;17.16;52.7;31
Limón;2021;6;Junio;341.0;11.37;45.8;29
Limón;2021;7;Julio;821.4;26.5;212.3;31
Limón;2021;8;Agosto;509.1;16.42;173.4;31
Limón;2021;9;Setiembre;366.3;12.21;46.8;30
Limón;2021;10;Octubre;305.5;9.85;32.7;30
Limón;2021;11;Noviembre;463.7;15.46;57.6;30
Limón;2021;12;Diciembre;328.0;10.58;33.4;30
Limón;2022;1;Enero;134.0;4.32;12.8;31
Limón;2022;2;Febrero;158.5;5.66;53.7;28
Limón;2022;3;Marzo;218.9;7.06;69.4;31
Limón;2022;4;Abril;436.9;14.56;77.5;30
Limón;2022;5;Mayo;361.9;11.67;83.6;31
Limón;2022;6;Junio;443.5;14.78;42.1;30
Limón;2022;7;Julio;504.2;16.26;43.2;31
Limón;2022;8;Agosto;397.5;12.82;52.8;31
Limón;2022;9;Setiembre;278.6;9.29;31.8;30
Limón;2022;10;Octubre;304.4;9.82;35.5;31
Limón;2022;11;Noviembre;552.2;18.41;64.4;30
Limón;2022;12;Diciembre;322.2;10.39;41.9;31
Limón;2023;1;Enero;298.4;9.63;39.4;31
Limón;2023;2;Febrero;153.7;5.49;17.3;28
Limón;2023;3;Marzo;161.8;5.22;32.1;31
Limón;2023;4;Abril;87.7;2.92;14.0;23
Limón;2023;5;Mayo;123.6;3.99;20.7;29
